"About the data: Exported on Jun 01, 2020. Criteria: Text - '""water insecurity"" OR ""water security"" ' in title and abstract. For more information, please see https://app.dimensions.ai/datasources. © 2019 Digital Science and Research Solutions Inc. All rights reserved. Unless otherwise agreed, redistribution / external use of this work is not permitted.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Source title,Anthology title,Publisher,MeSH terms,Publication Date,PubYear,Volume,Issue,Pagination,Open Access,Publication Type,Authors,Corresponding Author,Authors Affiliations,Research Organizations - standardized,GRID IDs,City of Research organization,State of Research organization,Country of Research organization,Funder,Funder Group,Funder Country,UIDs of supporting grants,Supporting Grants,Times cited,Recent citations,RCR,FCR,Altmetric,Source Linkout,Dimensions URL,FOR (ANZSRC) Categories,RCDC Categories,HRCS HC Categories,HRCS RAC Categories,ICRP Cancer Types,ICRP CSO Categories,Units of Assessment,Sustainable Development Goals
101,pub.1126267785,10.1146/annurev-chembioeng-111919-091940,32259463,,Water Treatment: Are Membranes the Panacea?,Annual Review of Chemical and Biomolecular Engineering,,Annual Reviews,,2020-06-07,2020,11,1,1-27,All OA; Bronze,Article,"Landsman, Matthew R; Sujanani, Rahul; Brodfuehrer, Samuel H; Cooper, Carolyn M; Darr, Addison G; Justin Davis, R; Kim, Kyungtae; Kum, Soyoon; Nalley, Lauren K; Nomaan, Sheik M; Oden, Cameron P; Paspureddi, Akhilesh; Reimund, Kevin K; Rowles, Lewis Stetson; Yeo, Seulki; Lawler, Desmond F; Freeman, Benny D; Katz, Lynn E",,"Landsman, Matthew R (The University of Texas at Austin); Sujanani, Rahul (The University of Texas at Austin); Brodfuehrer, Samuel H (The University of Texas at Austin); Cooper, Carolyn M (The University of Texas at Austin); Darr, Addison G (The University of Texas at Austin); Justin Davis, R (The University of Texas at Austin); Kim, Kyungtae (The University of Texas at Austin); Kum, Soyoon (The University of Texas at Austin); Nalley, Lauren K (The University of Texas at Austin); Nomaan, Sheik M (The University of Texas at Austin); Oden, Cameron P (The University of Texas at Austin); Paspureddi, Akhilesh (The University of Texas at Austin); Reimund, Kevin K (The University of Texas at Austin); Rowles, Lewis Stetson (The University of Texas at Austin); Yeo, Seulki (The University of Texas at Austin); Lawler, Desmond F (The University of Texas at Austin); Freeman, Benny D (The University of Texas at Austin); Katz, Lynn E (The University of Texas at Austin)",The University of Texas at Austin,grid.89336.37,Austin,Texas,United States,,,,,,0,0,,,6,https://www.annualreviews.org/doi/pdf/10.1146/annurev-chembioeng-111919-091940,https://app.dimensions.ai/details/publication/pub.1126267785,09 Engineering; 03 Chemical Sciences; 0904 Chemical Engineering; 0306 Physical Chemistry (incl. Structural),,,,,,B12 Engineering,6 Clean Water and Sanitation; 7 Affordable and Clean Energy
280,pub.1125769356,10.1016/j.envres.2020.109400,32222634,,Measuring water security: A vital step for climate change adaptation,Environmental Research,,Elsevier,,2020-06,2020,185,,109400,Closed,Article,"Babel, Mukand S.; Shinde, Victor R.; Sharma, Devesh; Dang, Nguyen Mai","Babel, Mukand S. (Asian Institute of Technology)","Babel, Mukand S. (Asian Institute of Technology); Shinde, Victor R. (Asian Institute of Technology); Sharma, Devesh (Central University of Rajasthan); Dang, Nguyen Mai (Thuyloi University)",Thuyloi University; Central University of Rajasthan; Asian Institute of Technology,grid.440808.0; grid.462331.1; grid.418142.a,Hanoi; Ajmer; Pathum Thani,; ; ,Vietnam; India; Thailand,,,,,,0,0,,,3,,https://app.dimensions.ai/details/publication/pub.1125769356,03 Chemical Sciences; 05 Environmental Sciences; 06 Biological Sciences,,,,,,C14 Geography and Environmental Studies,13 Climate Action
177,pub.1125080900,10.1016/j.scitotenv.2020.137509,32325571,,"Urban expansion and its impact on water security: The case of the Paraíba do Sul River Basin, São Paulo, Brazil",The Science of The Total Environment,,Elsevier,,2020-06,2020,720,,137509,Closed,Article,"da Encarnação Paiva, Ana Carolina; Nascimento, Nathália; Rodriguez, Daniel Andres; Tomasella, Javier; Carriello, Felix; de Rezende, Fernanda Silva","da Encarnação Paiva, Ana Carolina (National Institute for Space Research)","da Encarnação Paiva, Ana Carolina (National Institute for Space Research); Nascimento, Nathália (National Institute for Space Research); Rodriguez, Daniel Andres (Federal University of Rio de Janeiro); Tomasella, Javier (); Carriello, Felix (Fluminense Federal University); de Rezende, Fernanda Silva (Fluminense Federal University)",National Institute for Space Research; Fluminense Federal University; Federal University of Rio de Janeiro,grid.419222.e; grid.411173.1; grid.8536.8,São José dos Campos; Niterói; Rio de Janeiro,; ; ,Brazil; Brazil; Brazil,Coordenação de Aperfeicoamento de Pessoal de Nível Superior; National Council for Scientific and Technological Development,,Brazil; Brazil,,,0,0,,,1,,https://app.dimensions.ai/details/publication/pub.1125080900,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
125,pub.1127989715,10.4236/oje.2020.106020,,,"Application of Traditional Ecological Knowledge in Food and Water Security in the Semi-Arid Turkana County, Kenya",Open Journal of Ecology,,,,2020-06,2020,10,6,321-340,Closed,Article,"Ratemo, Cecilia Mwango; Ogendi, George Morara; Huang, Guangwei; Ondieki, Rhoda N.",,"Ratemo, Cecilia Mwango (); Ogendi, George Morara (); Huang, Guangwei (); Ondieki, Rhoda N. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127989715,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,2 Zero Hunger
88,pub.1125766893,10.1016/j.scitotenv.2020.138061,32220737,,Can nature-based solutions contribute to water security in Bhopal?,The Science of The Total Environment,,Elsevier,,2020-06,2020,723,,138061,Closed,Article,"Everard, Mark; Ahmed, Shakeel; Gagnon, Alexandre S.; Kumar, Pankaj; Thomas, T.; Sinha, Sumit; Dixon, Harry; Sarkar, Sunita","Everard, Mark (University of the West of England)","Everard, Mark (University of the West of England); Ahmed, Shakeel (); Gagnon, Alexandre S. (Liverpool John Moores University); Kumar, Pankaj (Indian Institute of Science Education and Research, Bhopal); Thomas, T. (National Institute of Hydrology); Sinha, Sumit (University of Leeds); Dixon, Harry (UK Centre for Ecology & Hydrology); Sarkar, Sunita (UK Centre for Ecology & Hydrology)","University of Leeds; National Institute of Hydrology; UK Centre for Ecology & Hydrology; Liverpool John Moores University; University of the West of England; Indian Institute of Science Education and Research, Bhopal",grid.9909.9; grid.419596.6; grid.494924.6; grid.4425.7; grid.6518.a; grid.462376.2,Leeds; Roorkee; Wallingford; Liverpool; Bristol; Bhopal,; Uttarakhand; ; ; South Gloucestershire; ,United Kingdom; India; United Kingdom; United Kingdom; United Kingdom; India,Ministry of Earth Sciences; Natural Environment Research Council,cOAlition S; UKRI,India; United Kingdom,,,0,0,,,5,,https://app.dimensions.ai/details/publication/pub.1125766893,0602 Ecology; 0406 Physical Geography and Environmental Geoscience; 06 Biological Sciences; 04 Earth Sciences; 05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,C14 Geography and Environmental Studies,11 Sustainable Cities and Communities
88,pub.1125314046,10.1016/j.scitotenv.2020.137646,32169640,,"A new framework for integrated, holistic, and transparent evaluation of inter-basin water transfer schemes",The Science of The Total Environment,,Elsevier,,2020-06,2020,721,,137646,Closed,Article,"Sinha, Pammi; Rollason, Edward; Louise, J. Bracken; Wainwright, John; Reaney, M. Sim","Rollason, Edward (Teesside University)","Sinha, Pammi (Durham University); Rollason, Edward (Teesside University); Louise, J. Bracken (Durham University); Wainwright, John (Durham University); Reaney, M. Sim (Durham University)",Teesside University; Durham University,grid.26597.3f; grid.8250.f,Middlesbrough; Durham,Middlesbrough; ,United Kingdom; United Kingdom,,,,,,0,0,,,2,,https://app.dimensions.ai/details/publication/pub.1125314046,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B12 Engineering,6 Clean Water and Sanitation
30,pub.1121476054,10.1016/j.envdev.2019.100460,,,How to allocate interbasin water resources? A method based on water flow in water-deficient areas,Environmental Development,,Elsevier,,2020-06,2020,34,,100460,Closed,Article,"Liu, Jingya; Qin, Keyu; Zhen, Lin; Xiao, Yu; Xie, Gaodi","Xie, Gaodi (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences)","Liu, Jingya (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Qin, Keyu (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Zhen, Lin (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Xiao, Yu (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences); Xie, Gaodi (Institute of Geographic Sciences and Natural Resources Research; University of Chinese Academy of Sciences)",University of Chinese Academy of Sciences; Institute of Geographic Sciences and Natural Resources Research,grid.410726.6; grid.424975.9,Beijing; Beijing,; ,China; China,Chinese Academy of Sciences; Ministry of Science and Technology of the People's Republic of China,,China; China,,,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1121476054,12 Built Environment and Design; 0502 Environmental Science and Management; 16 Studies in Human Society; 1605 Policy and Administration; 05 Environmental Sciences; 1205 Urban and Regional Planning,,,,,,B12 Engineering,11 Sustainable Cities and Communities
30,pub.1125616553,10.1016/j.jhydrol.2020.124826,,,"A Review of Remote Sensing Applications for Water Security: Quantity, Quality, and Extremes",Journal of Hydrology,,Elsevier,,2020-06,2020,585,,124826,Closed,Article,"Chawla, Ila; Karthikeyan, L.; Mishra, Ashok K.","Mishra, Ashok K. ","Chawla, Ila (Indian Institute of Science Bangalore); Karthikeyan, L. (Indian Institute of Technology Bombay); Mishra, Ashok K. ()",Indian Institute of Science Bangalore; Indian Institute of Technology Bombay,grid.34980.36; grid.417971.d,Bengaluru; Mumbai,; ,India; India,Directorate for Engineering,NSF,United States,grant.7706487; grant.6542578,1841629; 1653841,1,1,,,2,,https://app.dimensions.ai/details/publication/pub.1125616553,09 Engineering; 0909 Geomatic Engineering; 04 Earth Sciences; 0406 Physical Geography and Environmental Geoscience,,,,,,C14 Geography and Environmental Studies,
28,pub.1126014090,10.1007/s10040-020-02147-5,,,Groundwater and the discourse of shortage in Sub-Saharan Africa,Hydrogeology Journal,,Springer Nature,,2020-06,2020,28,4,1143-1154,Closed,Article,"Cobbing, Jude","Cobbing, Jude ","Cobbing, Jude ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126014090,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,
21,pub.1125312959,10.1016/j.gexplo.2020.106513,,,Water quality in worldwide coal mining city: A scenario in water chemistry and health risks exploration,Journal of Geochemical Exploration,,Elsevier,,2020-06,2020,213,,106513,Closed,Article,"Zhou, Ming; Li, Xiaoping; Zhang, Meng; Liu, Bin; Zhang, Yuchao; Gao, Yu; Ullah, Hameed; Peng, Liyuan; He, Ana; Yu, Hongtao","Li, Xiaoping (Shaanxi Normal University)","Zhou, Ming (Shaanxi Normal University); Li, Xiaoping (Shaanxi Normal University); Zhang, Meng (Shaanxi Normal University); Liu, Bin (Shaanxi Normal University); Zhang, Yuchao (Shaanxi Normal University); Gao, Yu (Shaanxi Normal University); Ullah, Hameed (Shaanxi Normal University); Peng, Liyuan (Shaanxi Normal University); He, Ana (Shaanxi Normal University); Yu, Hongtao (Morgan State University)",Shaanxi Normal University; Morgan State University,grid.412498.2; grid.260238.d,Xi'an; Baltimore,; Maryland,China; United States,National Natural Science Foundation of China,,China,grant.8229208,41471420,1,1,,,,,https://app.dimensions.ai/details/publication/pub.1125312959,04 Earth Sciences; 0403 Geology; 0402 Geochemistry,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation
20,pub.1127618251,10.1016/j.ecoser.2020.101117,,,"Quantifying water provision service supply, demand and spatial flow for land use optimization: A case study in the YanHe watershed",Ecosystem Services,,Elsevier,,2020-06,2020,43,,101117,Closed,Article,"Chen, Dengshuai; Li, Jing; Yang, Xiaonan; Zhou, Zixiang; Pan, Yuqi; Li, Manchun","Li, Jing (Shaanxi Normal University)","Chen, Dengshuai (Shaanxi Normal University; Nanjing University); Li, Jing (Shaanxi Normal University); Yang, Xiaonan (Agricultural University of Hebei); Zhou, Zixiang (Xi'an University of Science and Technology); Pan, Yuqi (Nanjing University); Li, Manchun (Nanjing University)",Nanjing University; Shaanxi Normal University; Agricultural University of Hebei; Xi'an University of Science and Technology,grid.41156.37; grid.412498.2; grid.274504.0; grid.440720.5,Nanjing; Xi'an; Baoding; Xi'an,; ; ; ,China; China; China; China,National Natural Science Foundation of China,,China,grant.8240491; grant.8240113,41771576; 41771198,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127618251,1499 Other Economics; 1402 Applied Economics; 14 Economics,,,,,,C14 Geography and Environmental Studies,
20,pub.1127138410,10.1016/j.ejrh.2020.100686,,,"Learning from the past – Using palaeoclimate data to better understand and manage drought in South East Queensland (SEQ), Australia",Journal of Hydrology Regional Studies,,Elsevier,,2020-06,2020,29,,100686,All OA; Pure Gold,Article,"Kiem, Anthony S.; Vance, Tessa R.; Tozer, Carly R.; Roberts, Jason L.; Pozza, Ramona Dalla; Vitkovsky, John; Smolders, Kate; Curran, Mark A.J.","Kiem, Anthony S. (University of Newcastle Australia)","Kiem, Anthony S. (University of Newcastle Australia); Vance, Tessa R. (University of Tasmania); Tozer, Carly R. (); Roberts, Jason L. (Australian Antarctic Division); Pozza, Ramona Dalla (Department of Environment, Land, Water and Planning); Vitkovsky, John (); Smolders, Kate (Seqwater); Curran, Mark A.J. (Australian Antarctic Division)","Australian Antarctic Division; University of Tasmania; Department of Environment, Land, Water and Planning; University of Newcastle Australia; Seqwater",grid.1047.2; grid.1009.8; grid.452205.4; grid.266842.c; grid.474213.7,Hobart; Hobart; Melbourne; Newcastle; Brisbane,Tasmania; Tasmania; Victoria; New South Wales; Queensland,Australia; Australia; Australia; Australia; Australia,Australian Research Council; Queensland Government,,Australia; Australia,,,0,0,,,,https://doi.org/10.1016/j.ejrh.2020.100686,https://app.dimensions.ai/details/publication/pub.1127138410,0406 Physical Geography and Environmental Geoscience; 04 Earth Sciences,,,,,,C14 Geography and Environmental Studies,
20,pub.1125492630,10.1016/j.jclepro.2020.120994,,,Sensitivity assessment and simulation of water resource security in karst areas within the context of hydroclimate change,Journal of Cleaner Production,,Elsevier,,2020-06,2020,258,,120994,Closed,Article,"Yin, Boling; Guan, Dongjie; Zhou, Lilei; Zhou, Jian; He, Xiujuan","Guan, Dongjie (Chongqing Jiaotong University)","Yin, Boling (Chongqing Jiaotong University); Guan, Dongjie (Chongqing Jiaotong University); Zhou, Lilei (Chongqing University; Chongqing University); Zhou, Jian (Chongqing Jiaotong University); He, Xiujuan (Chongqing Jiaotong University)",Chongqing University; Chongqing Jiaotong University,grid.190737.b; grid.440679.8,Chongqing; Chongqing,; ,China; China,Chongqing Municipality Education Commission,,China,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1125492630,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,,,,,,C14 Geography and Environmental Studies,
20,pub.1127598711,10.1007/s40899-020-00391-x,,,Vulnerability assessment of water resources in Hilly Region of Nepal,Sustainable Water Resources Management,,Springer Nature,,2020-06,2020,6,3,34,Closed,Article,"Chhetri, Ramesh; Kumar, Parmanand; Pandey, Vishnu P.; Singh, Ranjeet; Pandey, Shachi","Chhetri, Ramesh (Forest Research Institute)","Chhetri, Ramesh (Forest Research Institute); Kumar, Parmanand (Forest Research Institute); Pandey, Vishnu P. (); Singh, Ranjeet (Forest Research Institute); Pandey, Shachi (Forest Research Institute)",Forest Research Institute,grid.464556.0,Dehra Dūn,,India,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1127598711,05 Environmental Sciences; 0502 Environmental Science and Management,,,,,,B12 Engineering,1 No Poverty
17,pub.1124905554,10.1016/j.jclepro.2020.120595,,,Systematic Literature Review on Adaptation towards Climate Change Impacts among Indigenous People in the Asia Pacific Regions,Journal of Cleaner Production,,Elsevier,,2020-06,2020,258,,120595,Closed,Article,"Shaffril, Hayrol Azril Mohamed; Ahmad, Nobaya; Hamdan, Mas Ernawati; Abu Samah, Asnarulkhadi; Samsuddin, Samsul Farid","Shaffril, Hayrol Azril Mohamed (Universiti Putra Malaysia)","Shaffril, Hayrol Azril Mohamed (Universiti Putra Malaysia); Ahmad, Nobaya (Universiti Putra Malaysia); Hamdan, Mas Ernawati (Universiti Putra Malaysia); Abu Samah, Asnarulkhadi (Universiti Putra Malaysia); Samsuddin, Samsul Farid (University of Malaya)",Universiti Putra Malaysia; University of Malaya,grid.11142.37; grid.10347.31,Seri Kembangan; Kuala Lumpur,; ,Malaysia; Malaysia,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1124905554,0915 Interdisciplinary Engineering; 09 Engineering; 0910 Manufacturing Engineering; 0907 Environmental Engineering,,,,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",13 Climate Action
166,pub.1126927580,10.1093/oso/9780190948009.003.0006,,,Water Security and Gender Inequality,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,103-124,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927580,16 Studies in Human Society; 18 Law and Legal Studies; 1699 Other Studies In Human Society; 1801 Law,,,,,,C14 Geography and Environmental Studies,6 Clean Water and Sanitation; 10 Reduced Inequalities
165,pub.1126927579,10.1093/oso/9780190948009.003.0005,,,Water Security and Racial Discrimination,,Just Add Water,Oxford University Press (OUP),,2020-05-27,2020,,,83-102,Closed,Chapter,"Larson, Rhett B.",,"Larson, Rhett B. ()",,,,,,,,,,,0,0,,,,,https://app.dimensions.ai/details/publication/pub.1126927579,18 Law and Legal Studies; 1801 Law,,,,,,C14 Geography and Environmental Studies,10 Reduced Inequalities; 2 Zero Hunger
